Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
TE 125.T	No	Non-cancerous	Soft tissue		Female, 1	Fibroblast	CVCL_1740
TE 159.T	No	Non-cancerous	Soft tissue		Male, 6	Fibroblast	CVCL_1743
TE 441.T	Yes	Sarcoma	Rhabdomyosarcoma		Female, 14	Soft tissue	CVCL_1754
TE 617.T	Yes	Sarcoma	Rhabdomyosarcoma	Primary	Female, 1	Soft tissue	CVCL_1755
TE-1	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 58	Oesophagus	CVCL_1759
TE-10	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 58	Oesophagus	CVCL_1760
TE-11	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 58	Oesophagus	CVCL_1761
TE-14	Yes	Esophageal cancer	Squamous Cell Carcinoma		Male, 57	Oesophagus	CVCL_3336
TE-15	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Female, 58	Oesophagus	CVCL_1763
TE-4	Yes	Esophageal cancer	Squamous Cell Carcinoma		Male, 48	Lymph node	CVCL_3337
TE-5	Yes	Esophageal cancer	Squamous Cell Carcinoma		Female, 73	Oesophagus	CVCL_1764
TE-6	Yes	Esophageal cancer	Squamous Cell Carcinoma		Male, 71	Oesophagus	CVCL_1765
TE-8	Yes	Esophageal cancer	Squamous Cell Carcinoma		Male, 63	Oesophagus	CVCL_1766
TE-9	Yes	Esophageal cancer	Squamous Cell Carcinoma	Metastasis	Male, 48	Pleural effusion	CVCL_1767
TEN	Yes	Uterine cancer	Clear Cell Carcinoma	Primary	Female, 74	Endometrium	CVCL_E063
TF-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		Male, 35	Bone marrow	CVCL_0559
TGBC11TKB	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 72	Lymph node	CVCL_1768
THP-1	Yes	Leukemia		Primary	Male, 1	Haematopoietic and lymphoid tissue	CVCL_0006
TIG-3 TD	No	Non-cancerous	Lung		Male	Fibroblast	CVCL_V617
TIME	No	Non-cancerous			Male		CVCL_0047
TK [Human B-cell lymphoma]	Yes	Lymphoma	B-cell, Non-Hodgkins		80	Haematopoietic_and_lymphoid_tissue	CVCL_3216
TK-10	Yes	Kidney cancer			43	Kidney	CVCL_1773
TM-31	Yes	Brain cancer	Glioma		Female, 42	Central nervous system	CVCL_6735
Tm87-16	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Metastasis	Male, 1	Pleural effusion	CVCL_8001
TMD8	Yes	Lymphoma				Bone_marrow	CVCL_A442
TO 175.T	No	Non-cancerous	Lymphoma	Metastasis	Male, 29	Lymph node	CVCL_3806
Toledo	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary	Female	Haematopoietic and lymphoid tissue	CVCL_3611
TOV-112D	Yes	Ovarian cancer	Adenocarcinoma, endometrioid	Primary	Female, 42	Ovary	CVCL_3612
TOV-21G	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Primary	Female, 62	Ovary	CVCL_3613
TT	Yes	Thyroid cancer	Squamous Cell Carcinoma	Primary	Female, 77	Thyroid	CVCL_1774
TT2609-C02	Yes	Thyroid cancer	Carcinoma, follicular		Male, 57	Thyroid	CVCL_2218
TTC-1240	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Metastasis	Female, 0	Central nervous system	CVCL_8002
TTC-549	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Female, 6	Soft tissue	CVCL_8005
TTC-642	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Female, 1	Soft tissue	CVCL_8006
TTC-709	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Male, 0	Soft tissue	CVCL_8007
TUHR10TKB	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male, 69	Kidney	CVCL_5952
TUHR14TKB	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male	Kidney	CVCL_5953
TUHR4TKB	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male, 60	Kidney	CVCL_5957
TYK-nu	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 38	Ovary	CVCL_1776
U-118MG	Yes	Brain cancer	Glioma	Primary	Male, 47	Central nervous system	CVCL_0633
U-138MG	Yes	Brain cancer			Male, 47	Central nervous system	CVCL_0020
U-178MG	Yes	Brain cancer	Glioblastoma		Male, 56	Central nervous system	CVCL_A758
U-2197	Yes	Sarcoma			Male, 79		CVCL_0043
U-251MG	Yes	Brain cancer		Primary	Male	Central nervous system	CVCL_0021
U-266/70	Yes	Myeloma			Male, 53		CVCL_0015
U-266/84	Yes	Myeloma			Male, 53		CVCL_0016
U-2932	Yes	Lymphoma		Metastasis		Ascites	CVCL_1896
U-343MGa	Yes	Brain cancer	Glioblastoma		Male, 64	Central nervous system	CVCL_4773
U-698-M	Yes	Lymphoma		Metastasis	Male, 7	Upper aerodigestive tract	CVCL_0017
U-87MG ATCC	Yes	Brain cancer		Primary	Male, 44	Central nervous system	CVCL_0022
U-937	Yes	Leukemia		Metastasis	Male, 37	Pleural effusion	CVCL_0007
U-BLC1	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Female, 84	Urinary tract	CVCL_2738
U266B1	Yes	Myeloma	Multiple Myeloma, plasmacytoma		Male, 53	Haematopoietic and lymphoid tissue	CVCL_0566
U2OS	Yes	Bone cancer		Primary	Female, 15	Bone	CVCL_0042
UACC-257	Yes	Skin cancer	Melanoma	Primary		Skin	CVCL_1779
UACC-62	Yes	Skin cancer	Melanoma		Female	Skin	CVCL_1780
UACC-812	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 43	Breast	CVCL_1781
UACC-893	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 57	Breast	CVCL_1782
UCSD-242L	Yes	Skin cancer					CVCL_M009
UKE-1	Yes	Leukemia		Primary		Haematopoietic_and_lymphoid_tissue	CVCL_0104
UM-UC-1	Yes	Bladder cancer	Transitional Cell Carcinoma	Metastasis	Male, 26	Lymph node	CVCL_2743
UM-UC-3	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Male	Urinary tract	CVCL_1783
UMC-11	Yes	Lung cancer	Carcinoid	Primary		Lung	CVCL_1784
UO-31	Yes	Kidney cancer	Renal Cell Carcinoma		Female	Kidney	CVCL_1911
UOK101	Yes	Kidney cancer	Renal Cell Carcinoma		Female	Kidney	CVCL_B076
VCaP	Yes	Prostate cancer	Adenocarcinoma	Metastasis	Male, 59	Bone	CVCL_2235
VM-CUB-1	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Male	Urinary tract	CVCL_1786
VMRC-LCD	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary		Lung	CVCL_1787
VMRC-RCW	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male	Kidney	CVCL_1790
VMRC-RCZ	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Female	Kidney	CVCL_1791
WM115	Yes	Skin cancer		Metastasis	Female, 58	Skin	CVCL_0040
WM1799	Yes	Skin cancer	Melanoma		Male	Skin	CVCL_A341
WM266-4	Yes	Skin cancer	Melanoma	Metastasis	Female, 55	Skin	CVCL_2765
WM793	Yes	Skin cancer	Melanoma		Male, 37	Skin	CVCL_8787
WM88	Yes	Skin cancer	Melanoma	Metastasis	Male	Skin	CVCL_6805
WM983B	Yes	Skin cancer	Melanoma	Metastasis	Male, 54	Lymph node	CVCL_6809
WSU-DLCL2	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 41	Pleural effusion	CVCL_1902
WSU-FSCCL	Yes	Lymphoma		Primary		Haematopoietic_and_lymphoid_tissue	CVCL_1903
WSU-NHL	Yes	Lymphoma	B-cell	Primary	48	Pleural_effusion	CVCL_1793
YAPC	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 43	Ascites	CVCL_1794
YD-10B	Yes	Head and Neck cancer	Squamous Cell Carcinoma, tongue		Male, 67	Upper aerodigestive tract	CVCL_8929
YD-15	Yes	Head and Neck cancer	Squamous Cell Carcinoma, tongue		Male, 39	Salivary gland	CVCL_8930
YD-38	Yes	Head and Neck cancer	Squamous Cell Carcinoma		Male, 67	Upper aerodigestive tract	CVCL_L083
YD-8	Yes	Head and Neck cancer	Squamous Cell Carcinoma, tongue		Female, 46	Upper aerodigestive tract	CVCL_L079
YH-13	Yes	Brain cancer	Glioblastoma	Primary	Male, 40	Central nervous system	CVCL_1795
YKG-1	Yes	Brain cancer	Glioblastoma	Primary	Female, 53	Central nervous system	CVCL_1796
YMB-1	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	63	Ascites	CVCL_2814
ZR-75-1	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 63	Ascites	CVCL_0588
ZR-75-30	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 47	Ascites	CVCL_1661
