Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
Hs 737.T	No	Non-cancerous	Bone		Female, 10	Fibroblast	CVCL_0878
Hs 739.T	No	Non-cancerous	Breast		Female, 52	Fibroblast	CVCL_0882
Hs 742.T	No	Non-cancerous	Breast		Female, 71	Fibroblast	CVCL_0888
Hs 746.T	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 74	Soft tissue	CVCL_0333
Hs 751.T	No	Non-cancerous	Lymphoma		Male, 19	Fibroblast	CVCL_0891
Hs 766T	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 64	Lymph node	CVCL_0334
Hs 819.T	No	Non-cancerous	Bone		Male, 60	Fibroblast	CVCL_0928
Hs 821.T	No	Non-cancerous	Bone	Primary	Female, 31	Fibroblast	CVCL_0932
Hs 822.T	No	Non-cancerous	Bone	Primary	Female, 9	Fibroblast	CVCL_0933
Hs 834.T	No	Non-cancerous	Skin	Metastasis	Female, 27	Lymph node	CVCL_0938
Hs 839.T	No	Non-cancerous	Skin		Female, 42	Fibroblast	CVCL_0941
Hs 840.T	No	Non-cancerous	Upper aerodigestive		Male, 7	Fibroblast	CVCL_0942
Hs 852.T	Yes	Skin cancer	Melanoma		Male, 53	Skin	CVCL_0950
Hs 863.T	No	Non-cancerous	Bone		Female, 5	Fibroblast	CVCL_0959
Hs 870.T	No	Non-cancerous	Bone		Male, 22	Fibroblast	CVCL_0966
Hs 888.T	No	Non-cancerous	Bone		Male, 20	Fibroblast	CVCL_0979
Hs 895.T	No	Non-cancerous	Skin	Metastasis	Female, 48	Fibroblast	CVCL_0993
Hs 934.T	No	Non-cancerous	Skin	Primary	Female, 58	Fibroblast	CVCL_1031
Hs 936.T	Yes	Skin cancer	Melanoma		Male	Skin	CVCL_1033
Hs 939.T	Yes	Skin cancer	Melanoma		Female, 24	Skin	CVCL_1036
Hs 940.T	No	Non-cancerous	Skin	Primary	Male, 57	Fibroblast	CVCL_1038
Hs 944.T	Yes	Skin cancer	Melanoma	Metastasis	Male, 51	Skin	CVCL_1040
HSC-2	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Metastasis	Male, 69	Upper aerodigestive tract	CVCL_1287
HSC-3	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Metastasis	Male, 64	Upper aerodigestive tract	CVCL_1288
HSC-4	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Metastasis	Male, 64	Upper aerodigestive tract	CVCL_1289
HSkMC	No	Uncategorized					
HT	Yes	Lymphoma	B-cell, Non-Hodgkins		Male, 70	Ascites	CVCL_1290
HT-1080	Yes	Sarcoma	Fibrosarcoma	Metastasis	Male, 35	Soft tissue	CVCL_0317
HT-1197	Yes	Bladder cancer	Carcinoma	Primary	Male, 44	Urinary tract	CVCL_1291
HT-1376	Yes	Bladder cancer	Carcinoma	Primary	Female, 58	Urinary tract	CVCL_1292
HT-144	Yes	Skin cancer	Melanoma	Metastasis	Male, 29	Skin	CVCL_0318
